store,sku,pn,url,price,seller
Walmart,38236195,EGD172BL,http://www.walmart.com/ip/Ematic-7-Tablet-8GB-Dual-Core/38236195,49.77,Walmart.com
Walmart,33736545,F4C54UA,http://www.walmart.com/ip/HP-Slate-7-HD-3400US-7-Tablet-16GB-Memory-4G/33736544,184.3,Walmart store
Walmart,24198263,ME-107-D-8GB-TC-BLU,http://www.walmart.com/ip/Visual-Land-Prestige-Pro-7-Tablet-with-1.6GHz-Dual-Core-HD-Screen-8GB-Memory-Google-Mobile-Services/24198263,90.96,Not Listed
Walmart,37648975,MH0W2LL/A,http://www.walmart.com/ip/Apple-iPad-Air-2-16GB-Wi-Fi/37648975,489,Walmart.com
Walmart,31260721,MuffinKinder7Blue,http://www.walmart.com/ip/Muffin-Kinder-7-rdquo-Kids-Tablet-8GB-Memory-Dual-Core/31260721,110.14,Walmart.com
Walmart,39092206,NXW10QC32G,http://www.walmart.com/ip/Nextbook-10.1-Intel-Quad-Core-2-In-1-Detachable-Windows-8.1-Tablet/39092206,179,Walmart.com
Walmart,34455841,SM-T110NYKAXAR,http://www.walmart.com/ip/Samsung-Galaxy-Tab-3-Lite-7-Tablet-8GB-Memory/34455841,130.79,Circuit City
Walmart,24198226,WP005,http://www.walmart.com/ip/Wikipad-7-Tablet-16GB-Memory/24198226,198.63,Walmart.com
Walmart,40703463,K4F55UA,http://www.walmart.com/ip/HP-Stream-8-5901-with-WiFi-8-Touchscreen-Tablet-PC-Featuring-Windows-8.1-Black-Licorice/40703463,Unknown,Walmart.com
Walmart,37389013,59407798,http://www.walmart.com/ip/A8-50-8-Android-4.2-Tablet-16GB-Stoarge-1GB-LP-DDR2/37389013,179.99,Walmart.com
Walmart,41512397,EWT816-BL,http://www.walmart.com/ip/Ematic-8-Tablet-16GB-Intel-Windows-8.1/41512397,128.19,pcRUSH
Walmart,40712759,MF529LL/A,http://www.walmart.com/ip/Apple-iPad-Air-32GB-WiFi-AT-T-Space-Gray/40712757,479.99,Walmart.com
Walmart,43688708,NT.L4LAA.001,http://www.walmart.com/ip/Acer-B1-730-145G-with-WiFi-7-Touchscreen-Tablet-PC-Featuring-Android-4.2-Jelly-Bean-Operating-System/43688708,59.99,Walmart.com
Walmart,43266547,NXA116QC164,http://www.walmart.com/ip/Nextbook-Ares-11.6-Tablet-64GB-Quad-Core-2-in-1/43266547,197,Walmart.com
Walmart,43327079,VTA1005XB,http://www.walmart.com/ip/Vulcan-Excursion-Xb-Vta1005xb-32-Gb-Net-tablet-Pc-10.1-In-plane-Switching-ips-Technology-Intel-1.30-Ghz-Black-2-Gb-Ram-Windows-8-Hybr/43327079,199.99,Walmart.com
Walmart,43148879,NT.L5FAA.002,http://www.walmart.com/ip/Acer-ICONIA-Tab-10-A3-A20FHD-K0CQ-Tablet-Android-4.4-KitKat-32-GB-Embedded-MultiMediaCard-10.1-IPS-1920-x-1/43148879,249.99,Walmart.com
Walmart,30845918,ME-107-D-8GB-TC-GRN,http://www.walmart.com/ip/Visual-Land-Prestige-Pro-7-Tablet-8GB-Memory-1.6GHz-Dual-Core-HD-Screen-Google-Mobile-Services-with-Bonus-Case/30845904,Unknown,Not Listed
Walmart,30845926,ME-107-D-8GB-TC-YEL,http://www.walmart.com/ip/Visual-Land-Prestige-Pro-7-Tablet-8GB-Memory-1.6GHz-Dual-Core-HD-Screen-Google-Mobile-Services-with-Bonus-Case/30845904,Unknown,Not Listed
Walmart,30845930,ME-107-D-8GB-TC-RED,http://www.walmart.com/ip/Visual-Land-Prestige-Pro-7-Tablet-8GB-Memory-1.6GHz-Dual-Core-HD-Screen-Google-Mobile-Services-with-Bonus-Case/30845904,Unknown,Not Listed
Walmart,30845914,ME-107-D-8GB-TC-BLK,http://www.walmart.com/ip/Visual-Land-Prestige-Pro-7-Tablet-8GB-Memory-1.6GHz-Dual-Core-HD-Screen-Google-Mobile-Services-with-Bonus-Case/30845904,Unknown,Not Listed
Walmart,30845938,ME-107-D-8GB-TC-LIL,http://www.walmart.com/ip/Visual-Land-Prestige-Pro-7-Tablet-8GB-Memory-1.6GHz-Dual-Core-HD-Screen-Google-Mobile-Services-with-Bonus-Case/30845904,Unknown,Not Listed
Walmart,30845906,ME-107-D-8GB-TC-MAG,http://www.walmart.com/ip/Visual-Land-Prestige-Pro-7-Tablet-8GB-Memory-1.6GHz-Dual-Core-HD-Screen-Google-Mobile-Services-with-Bonus-Case/30845904,Unknown,Not Listed
Walmart,30845922,ME-107-D-8GB-TC-ORG,http://www.walmart.com/ip/Visual-Land-Prestige-Pro-7-Tablet-8GB-Memory-1.6GHz-Dual-Core-HD-Screen-Google-Mobile-Services-with-Bonus-Case/30845904,Unknown,Not Listed
Walmart,30845910,ME-107-D-8GB-TC-SKY,http://www.walmart.com/ip/Visual-Land-Prestige-Pro-7-Tablet-8GB-Memory-1.6GHz-Dual-Core-HD-Screen-Google-Mobile-Services-with-Bonus-Case/30845904,Unknown,Not Listed
