store,sku,pn,url,price,seller
Walmart,37146841,DT.SRQAA.024,http://www.walmart.com/ip/Acer-Black-Aspire-TC-605-Desktop-PC-with-Intel-Core-i7-4770-Quad-Core-Processor-8GB-Memory-1TB-Hard-Drive-and-Windows-8.1-Monitor-Not-Included/37146841,729.99,TigerDirect
Walmart,39405639,DT.SRQAA.052,http://www.walmart.com/ip/Acer-Black-Aspire-TC-ATC-605-UW2U-Desktop-PC-with-Intel-Core-i5-4460-Processor-8GB-Memory-1TB-Hard-Drive-and-Windows-7-Home-Premium-Monitor-Not-Inc/39405639,449.99,Walmart.com
Walmart,36998826,DT.SUVAA.003,http://www.walmart.com/ip/Acer-Black-Aspire-XC-AXC-603G-UW13-Desktop-PC-with-Intel-Celeron-J1900-Quad-Core-Processor-4GB-Memory-500GB-Hard-Drive-and-Windows-8.1-Monitor-Not/36998826,248,Walmart.com
Walmart,37617692,DQ.SVAAA.002,http://www.walmart.com/ip/Acer-Black-Aspire-Z3-Aspire-AZ3-615-UR11-All-In-One-Desktop-PC-with-Intel-Pentium-G3220T-Dual-Core-Processor-4GB-Memory-1TB-Hard-Drive-and-Windows-8/37617692,620.49,TigerDirect
Walmart,38435761,DT.SPXAA.015,http://www.walmart.com/ip/Acer-Black-Aspire-Predator-G3-605-Desktop-PC-with-Intel-Core-i7-4770-Quad-Core-Processor-12GB-Memory-2TB-Hard-Drive-and-Windows-8-Monitor-Not-Inclu/38435761,1129.42,Not Listed
Walmart,33125909,DT.VFUAA.009,http://www.walmart.com/ip/Acer-Veriton-L4620G-Desktop-PC-with-Intel-Pentium-G2130-Processor-4GB-Memory-500GB-Hard-Drive-and-Windows-8-Professional-Monitor-Not-Included/33125909,463.66,Not Listed
Walmart,32107068,DT.VHHAA.004,http://www.walmart.com/ip/Acer-Black-Veriton-M-Series-VM4630G-i5443x-Desktop-PC-with-Intel-Core-i5-4430-Processor-4GB-Memory-500GB-Hard-Drive-and-Windows-7-Professional-Moni/32107068,642.24,Not Listed
Walmart,34307116,DT.VJTAA.002,http://www.walmart.com/ip/Acer-Black-Veriton-2-VM2630G-i3413X-Desktop-PC-with-Intel-Core-i3-4130-Processor-4GB-Memory-500GB-Hard-Drive-and-Windows-8-Pro-Monitor-Not-Included/34307116,502.28,Not Listed
Walmart,32107072,DT.VH6AA.001,http://www.walmart.com/ip/Acer-Black-Veriton-N-Series-VN4620G-i3322X-Desktop-PC-with-Intel-Core-i3-3227U-Processor-4GB-Memory-120GB-Solid-State-Drive-and-Windows-7-Profession/32107072,572.39,Walmart.com
Walmart,39643391,DT.VJJAA.004,http://www.walmart.com/ip/Acer-X2630G-I34150X-I3-3.5-4GB-500G-W8.1P-W7P/39643391,489,Walmart.com
Walmart,34299476,VX6630G-i54570X,http://www.walmart.com/ip/Acer-Veriton-VX6630G-i54570X-Desktop-PC-with-Intel-Core-i5-4570-Processor-8GB-Memory-500GB-Hard-Drive-and-Windows-8-Professional-Monitor-Not-Includ/34299476,698.46,Not Listed
Walmart,31963918,DQ.VGBAA.001,http://www.walmart.com/ip/Acer-Black-Veriton-Z4630G-All-in-One-Desktop-PC-with-Intel-Core-i5-3330S-Processor-4GB-Memory-23-Monitor-500GB-Hard-Drive-and-Windows-7-Profession/31963918,691.9,Not Listed
Walmart,40706579,DT.VGJAA.002,http://www.walmart.com/ip/Acer-Veriton-X4620G-Desktop-Computer-Intel-Core-i3-3240-3.40GHz/40706579,480.44,Not Listed
Walmart,37388570,DQ.VK6AA.002,http://www.walmart.com/ip/Acer-Black-Veriton-Z-VZ2660G-i34130X-All-In-One-Desktop-PC-with-Intel-Core-i3-4130T-Dual-Core-Processor-4GB-Memory-19.5-Monitor-500GB-Hard-Drive-a/37388570,724.49,TigerDirect
Walmart,34480206,DT.VK0AA.002,http://www.walmart.com/ip/Acer-Veriton-N4620G-Ec3337U-Ultra-slim-desktop-1-x-Core-i5-3337U-1.8-GHz/34480206,540.2,Beach Audio Inc
Walmart,43389896,A51R2-1172SLV,http://www.walmart.com/ip/Dell-Epic-Silver-Alienware-Area-51-Desktop-PC-with-Intel-Core-i7-5820K-Processor-8GB-Memory-2TB-Hard-Drive-and-Windows-8.1-Monitor-Not-Included/43389896,2225.99,Circuit City
Walmart,40549458,AX51R2-18599BK,http://www.walmart.com/ip/Dell-Alienware-X51-Intel-Core-i7-4790-4GHz-16GB-RAM-256GB-SSD/40549458,1809.22,Walmart.com
Walmart,36976907,AX51R2-2862BK,http://www.walmart.com/ip/Dell-Alienware-X51-R2-Desktop-PC-with-Intel-Core-i5-4440-Processor-8GB-Memory-1TB-Hard-Drive-and-Windows-7-Home-Premium-Monitor-Not-Included/36976907,844.44,Walmart.com
Walmart,43389894,AX51R2-2864BK,http://www.walmart.com/ip/Dell-Matte-Stealth-Black-Alienware-X51-R2-Desktop-PC-with-Intel-Core-i5-4460-Processor-8GB-Memory-1TB-Hard-Drive-and-Windows-8.1-Monitor-Not-Includ/43389894,872.42,pcRUSH
Walmart,25582163,AX51R2-5724BK,http://www.walmart.com/ip/Dell-Matte-Black-Alienware-AX51R2-5724BK-Desktop-PC-with-Intel-Core-i5-4430-Processor-8GB-Memory-1TB-Hard-Drive-and-Windows-8-Operating-System-Moni/25582163,969.89,Walmart.com
Walmart,32704111,BP6375-I53470040B,http://www.walmart.com/ip/Asus-BP6375-I53470040B-Desktop-PC-with-Intel-Core-i5-3470-Processor-8GB-Memory-1TB-Hard-Drive-and-Windows-8-Professional-Monitor-Not-Included/32704111,741.97,Circuit City
Walmart,37421270,BACC500,http://www.walmart.com/ip/CyberPowerPC-Black-Business-Acclaim-BACC500-Desktop-PC-with-Intel-Core-i7-4790K-Quad-Core-Processor-16GB-Memory-2TB-Hard-Drive-and-Windows-8.1-Profe/37421270,1489,Not Listed
Walmart,37421277,BSI300,http://www.walmart.com/ip/CyberPowerPC-Black-Business-Sage-BSI300-Desktop-PC-with-Intel-Core-i5-4690K-Quad-Core-Processor-16GB-Memory-2TB-Hard-Drive-and-Windows-8.1-Professio/37421277,859,Walmart.com
Walmart,36977638,EK3000,http://www.walmart.com/ip/CYBERPOWERPC-Essential-K-EK3000-Desktop-PC-with-Intel-Pentium-G3240-Dual-Core-Processor-4GB-Memory-128GB-Solid-State-Drive-and-Windows-8.1-Professio/36977638,509.99,Walmart.com
Walmart,34643910,SLC1000W,http://www.walmart.com/ip/CYBERPOWERPC-Gamer-Supreme-SLC1000W-Desktop-PC-with-AMD-FX-9370-Octa-Core-Processor-16GB-Memory-120GB-SSD-2TB-Hard-Drive-and-Windows-8.1-Monitor/34643910,1589,Not Listed
Walmart,38580841,SLC1400W,http://www.walmart.com/ip/CyberPowerPC-Gun-Metal-Gamer-Supreme-SLC1400W-Desktop-PC-with-Intel-Core-i7-5930K-Hexa-Core-Ivy-Bridge-E-Processor-16GB-Memory-250GB-SSD-2TB-Hard/38580841,2319,Not Listed
Walmart,38662781,SLC7400,http://www.walmart.com/ip/CyberPowerPC-Gray-Gamer-Supreme-SLC7400-Desktop-PC-with-Intel-Core-i7-5930K-Ivy-Bridge-Processor-16GB-Memory-2TB-Hard-Drive-and-Windows-8.1-Monitor/38662781,2149.99,TigerDirect
Walmart,24727259,GUA450,http://www.walmart.com/ip/CYBERPOWERPC-Black-Gamer-Ultra-GUA450-Desktop-PC-with-AMD-FX-8320-Vishera-Processor-8GB-Memory-1TB-Hard-Drive-and-Windows-8-Operating-System-Monito/24727259,799,Walmart.com
Walmart,34931675,GUA490,http://www.walmart.com/ip/CyberPowerPC-Gamer-Ultra-GUA490-Black-Red-Desktop-PC-with-AMD-Kaveri-A10-7850K-Quad-Core-Processor-8GB-Memory-2TB-Hard-Drive-and-Windows-8.1-Monito/34931675,779,Walmart.com
Walmart,37421266,GXi680,http://www.walmart.com/ip/CyberPowerPC-Black-Gamer-Xtreme-GXi680-Desktop-PC-with-Intel-Core-i5-4590-Quad-Core-Processor-8GB-Memory-2TB-Hard-Drive-and-Windows-8.1-Monitor-Not/37421266,749,Walmart.com
Walmart,37421273,GXi690,http://www.walmart.com/ip/CyberPowerPC-Black-Gamer-Xtreme-GXi690-Desktop-PC-with-Intel-Core-i5-4690K-Quad-Core-Processor-8GB-Memory-1TB-Hard-Drive-and-Windows-8.1-Monitor-No/37421273,799,Walmart.com
Walmart,34643914,ZMA2000W,http://www.walmart.com/ip/CYBERPOWERPC-Zeus-Mini-ZMA2000W-Desktop-PC-with-AMD-A6-6400K-Dual-Core-Processor-8GB-Memory-1TB-Hard-Drive-and-Windows-8.1-Monitor-Not-Included/34643914,649,Not Listed
Walmart,34931676,ZMA400,http://www.walmart.com/ip/CyberPowerPC-Zeus-Mini-ZMA400-Black-Desktop-PC-with-AMD-Kaveri-A10-7700K-Quad-Core-Processor-8GB-Memory-1TB-Hard-Drive-and-Windows-8.1-Monitor-Not/34931676,963.31,pcRUSH
Walmart,40100010,i3043-3750BLK,http://www.walmart.com/ip/Dell-Black-Inspiron-3043-All-in-One-Desktop-PC-with-Intel-Celeron-N2830-Processor-4GB-Memory-19.5-Touchscreen-500GB-Hard-Drive-and-Windows-8.1/40100010,429.99,Not Listed
Walmart,39875786,i3048-2286BLK,http://www.walmart.com/ip/Dell-Black-Inspiron-i3048-2286BLK-All-in-One-Desktop-PC-with-Intel-Pentium-G3240T-Processor-4GB-Memory-20-Monitor-1TB-Hard-Drive-and-Windows-8.1/39875786,435.99,Walmart.com
Walmart,36883725,I3048-8001BLK,http://www.walmart.com/ip/Dell-Inspiron-Black-3048-All-In-One-Desktop-PC-with-Intel-Core-i3-4130T-Processor-8GB-Memory-20-Touchscreen-Monitor-1TB-Hard-Drive-and-Windows-8.1/36883725,619.99,Not Listed
Walmart,43825437,i3847-4925BK,http://www.walmart.com/ip/Dell-Black-Inspiron-3000-Series-Desktop-PC-with-Intel-Core-i3-4160-Processor-8GB-Memory-1TB-Hard-Drive-and-Windows-7-Professional-Monitor-Not-Inclu/43825437,449.99,Walmart.com
Walmart,36883803,I3847-5078BK,http://www.walmart.com/ip/Dell-Black-Inspiron-3847-Desktop-PC-with-Intel-Core-i5-4460-Processor-8GB-Memory-1TB-Hard-Drive-and-Windows-7-Home-Premium-Monitor-Not-Included/36883803,539.99,Not Listed
Walmart,40099995,i3847-5847BK,http://www.walmart.com/ip/Dell-Black-Inspiron-3000-3847-Desktop-PC-with-Intel-Core-i5-4460-Processor-8GB-Memory-1TB-Hard-Drive-and-Windows-7-Professional-Monitor-Not-Inclu/40099995,576.3,Walmart.com
Walmart,40100004,I3847-6159BK,http://www.walmart.com/ip/Dell-Black-Inspiron-3000-3847-Desktop-PC-with-Intel-Core-i5-4460-Processor-16GB-Memory-1TB-Hard-Drive-and-Windows-8.1-Monitor-Not-Included/40100004,699.99,Not Listed
Walmart,36976911,I3847-6927BK,http://www.walmart.com/ip/Dell-Inspiron-3847-Desktop-PC-with-Intel-Core-i5-4460-Processor-8GB-Memory-24-Monitor-1TB-Hard-Drive-and-Windows-8.1/36976911,698,Walmart store
Walmart,37550609,i5348-2000BLK,http://www.walmart.com/ip/Dell-Inspiron-5348-i5348-2000BLK-All-in-One-Desktop-PC-with-Intel-Pentium-G3220-Processor-4GB-Memory-23-Display-1TB-Hard-Drive-and-Windows-8.1/37550609,579.99,Not Listed
Walmart,36883728,I5348-4444BLK,http://www.walmart.com/ip/Dell-Black-Inspiron-5348-All-In-One-Desktop-PC-with-Intel-Core-i3-4130-Processor-8GB-Memory-23-Full-HD-Touch-Display-1TB-Hard-Drive-and-Windows-8/36883728,749.99,Not Listed
Walmart,40100011,i5348-5557BLK,http://www.walmart.com/ip/Dell-Black-Inspiron-5348-All-in-One-Desktop-PC-with-Intel-Core-i5-4460S-Processor-8GB-Memory-23-Touchscreen-1TB-Hard-Drive-and-Windows-8.1/40100011,953.99,Circuit City
Walmart,36883729,I5348-8889BLK,http://www.walmart.com/ip/Dell-Black-Inspiron-5348-All-In-One-Desktop-PC-with-Intel-Core-i7-4770S-Processor-12GB-Memory-23-Full-HD-Touch-Display-1TB-Hard-Drive-and-Windows/36883729,1168,Not Listed
Walmart,40099997,X8700-1125BLK,http://www.walmart.com/ip/Dell-Black-XPS-8700-Desktop-PC-with-Intel-Core-i5-4460-Processor-8GB-Memory-1TB-Hard-Drive-and-Windows-7-Professional-Monitor-Not-Included/40099997,769.73,Not Listed
Walmart,36883724,X8700-1261BLK,http://www.walmart.com/ip/Dell-Black-XPS-8700-Desktop-PC-with-Intel-Core-i7-4790-Processor-8GB-Memory-1TB-Hard-Drive-and-Windows-7-Home-Premium-Monitor-Not-Included/36883724,779.99,Not Listed
Walmart,36883811,X8700-1262BLK,http://www.walmart.com/ip/Dell-Black-XPS-8700-Desktop-PC-with-Intel-Core-i5-4460-Processor-12GB-Memory-1TB-Hard-Drive-and-Windows-8.1-Monitor-Not-Included/36883811,798,Not Listed
Walmart,43389901,X8700-1265BLK,http://www.walmart.com/ip/Dell-Black-XPS-8700-Desktop-PC-with-Intel-Core-i5-4460-Processor-12GB-Memory-1TB-Hard-Drive-and-Windows-8.1-Monitor-Not-Included/43389901,842.27,Walmart.com
Walmart,34696326,X8700-1437BLK,http://www.walmart.com/ip/Dell-XPS-8700-Desktop-PC-with-Intel-Core-i5-4440-Processor-12GB-Memory-1TB-Hard-Drive-and-Windows-7-Home-Premium-Monitor-Not-Included/34696326,829.99,Not Listed
